label,message
spam,cash urgent click prize prize
spam,offer urgent click free money
spam,prize urgent win win cash
spam,money money offer offer free
spam,prize urgent win prize prize
spam,prize prize urgent money money
spam,offer money offer offer urgent
spam,offer money free offer prize
spam,prize urgent free urgent money
spam,urgent urgent urgent offer offer
spam,offer cash click money win
spam,win click click click cash
spam,click click offer urgent cash
spam,offer money click urgent prize
spam,offer click free money win
spam,click click win win urgent
spam,prize win money cash click
spam,cash free free free urgent
spam,money win offer win prize
spam,prize prize win cash click
spam,money free prize urgent money
spam,urgent free win money click
spam,cash free urgent free offer
spam,cash prize prize click prize
spam,urgent cash click free click
spam,free urgent click prize cash
spam,win prize click money money
spam,cash click win offer money
spam,win cash offer offer cash
spam,urgent win money click prize
spam,click prize offer offer offer
spam,prize urgent free cash cash
spam,prize free prize win prize
spam,money offer offer money cash
spam,free offer money prize prize
spam,money offer click prize click
spam,offer win click offer offer
spam,offer money cash offer urgent
spam,cash offer prize prize urgent
spam,cash free offer free urgent
spam,money cash urgent urgent win
spam,click prize offer cash free
spam,money cash click cash money
spam,offer urgent offer urgent offer
spam,win urgent cash urgent free
spam,click prize urgent cash prize
spam,win offer prize click prize
spam,urgent cash urgent money cash
spam,free money prize prize free
spam,free urgent offer click click
spam,click cash offer cash urgent
spam,money money urgent win click
spam,offer free win free offer
spam,cash money money urgent prize
spam,win cash click cash prize
spam,cash cash prize urgent free
spam,prize cash cash win cash
spam,win money urgent win free
spam,offer cash urgent prize money
spam,money offer money urgent free
spam,money free offer click urgent
spam,click cash free cash cash
spam,offer free free money click
spam,click urgent prize urgent money
spam,urgent cash click prize money
spam,win prize prize money prize
spam,urgent money free cash win
spam,free cash cash urgent cash
spam,offer win offer offer cash
spam,offer urgent prize prize prize
spam,cash free money offer win
spam,cash offer urgent win urgent
spam,free click money money money
spam,offer cash money click cash
spam,urgent money free free prize
spam,urgent click free win urgent
spam,urgent click click free prize
spam,offer offer free urgent cash
spam,click urgent urgent cash offer
spam,urgent win click money offer
spam,urgent money prize offer money
spam,offer money click offer cash
spam,prize win money free click
spam,offer prize prize money prize
spam,cash prize urgent cash urgent
spam,cash click click urgent money
